"ID","ESCALE_DEPART","ESCALE_DESTINATION","CODE","DATE_CREATED"
"2235285","DCA","OUD","DCAOUD","current_timestamp"
"2235286","RUH","OUD","RUHOUD","current_timestamp"
"2235287","CAG","CMN","CAGCMN","current_timestamp"
"2235288","TLS","EUN","TLSEUN","current_timestamp"
"2235289","MAD","DME","MADDME","current_timestamp"
"2235290","DLA","BLQ","DLABLQ","current_timestamp"
"2235291","ROM","MLW","ROMMLW","current_timestamp"
"2235292","BER","LFW","BERLFW","current_timestamp"
"2235293","DLA","AMS","DLAAMS","current_timestamp"
"2235294","SAW","BCN","SAWBCN","current_timestamp"
"2235295","CMN","MEL","CMNMEL","current_timestamp"
"2235296","NRT","DSS","NRTDSS","current_timestamp"
"2235297","MNL","RAK","MNLRAK","current_timestamp"
"2235298","SFO","VIL","SFOVIL","current_timestamp"
"2235299","DSS","DJE","DSSDJE","current_timestamp"
"2235300","FEZ","KBP","FEZKBP","current_timestamp"
"2235301","JIB","CKY","JIBCKY","current_timestamp"
"2235302","DKR","BEY","DKRBEY","current_timestamp"
"2235303","BJL","OZZ","BJLOZZ","current_timestamp"
"2235304","AGA","IEV","AGAIEV","current_timestamp"
"2235305","OSL","RAI","OSLRAI","current_timestamp"
"2235306","DSS","AJF","DSSAJF","current_timestamp"
"2235307","ABJ","PWM","ABJPWM","current_timestamp"
"2235308","VCE","TXL","VCETXL","current_timestamp"
"2235309","VLC","TUU","VLCTUU","current_timestamp"
"2235310","YLW","LOS","YLWLOS","current_timestamp"
"2235311","BJL","TLS","BJLTLS","current_timestamp"
"2235312","FLR","LOS","FLRLOS","current_timestamp"
"2235313","OPO","VIL","OPOVIL","current_timestamp"
"2235315","YMQ","CAS","YMQCAS","current_timestamp"
"2235316","NDJ","DLA","NDJDLA","current_timestamp"
"2235317","MCT","RAI","MCTRAI","current_timestamp"
"2235318","CMN","SDF","CMNSDF","current_timestamp"
"2235319","RUH","BGF","RUHBGF","current_timestamp"
"2235320","BKK","LAD","BKKLAD","current_timestamp"
"2235321","BKK","FNA","BKKFNA","current_timestamp"
"2235322","NSI","MAN","NSIMAN","current_timestamp"
"2235323","BRU","CMB","BRUCMB","current_timestamp"
"2235324","HOU","NDJ","HOUNDJ","current_timestamp"
"2235325","RDU","ALG","RDUALG","current_timestamp"
"2235326","COO","GRU","COOGRU","current_timestamp"
"2235327","GRR","CMN","GRRCMN","current_timestamp"
"2235328","BGF","JAI","BGFJAI","current_timestamp"
"2235329","BKO","CHI","BKOCHI","current_timestamp"
"2235330","CSG","FEZ","CSGFEZ","current_timestamp"
"2235331","BEY","BOD","BEYBOD","current_timestamp"
"2235332","ZRH","ESU","ZRHESU","current_timestamp"
"2235333","GLN","FEZ","GLNFEZ","current_timestamp"
"2235334","AAN","CMN","AANCMN","current_timestamp"
"2235335","JNU","AGA","JNUAGA","current_timestamp"
"2235336","YHZ","AGA","YHZAGA","current_timestamp"
"2235337","JFK","ISB","JFKISB","current_timestamp"
"2235338","DLM","SSG","DLMSSG","current_timestamp"
"2235339","CAI","LAX","CAILAX","current_timestamp"
"2235340","SOC","CMN","SOCCMN","current_timestamp"
"2235341","MOW","TNG","MOWTNG","current_timestamp"
"2235342","BRU","ORY","BRUORY","current_timestamp"
"2235343","COO","BLQ","COOBLQ","current_timestamp"
"2235344","BDS","CMN","BDSCMN","current_timestamp"
"2235345","SSG","IST","SSGIST","current_timestamp"
"2235346","BUE","BCN","BUEBCN","current_timestamp"
"2235347","MXP","TFN","MXPTFN","current_timestamp"
"2235348","ABJ","MCO","ABJMCO","current_timestamp"
"2235349","VCE","OXB","VCEOXB","current_timestamp"
"2235350","AGP","TUN","AGPTUN","current_timestamp"
"2235351","TUN","NKC","TUNNKC","current_timestamp"
"2235352","OUD","MAD","OUDMAD","current_timestamp"
"2235353","LOS","RAI","LOSRAI","current_timestamp"
"2235354","DKR","IAD","DKRIAD","current_timestamp"
"2235355","CMN","PVR","CMNPVR","current_timestamp"
"2235356","TLS","VLC","TLSVLC","current_timestamp"
"2235357","LAD","LPA","LADLPA","current_timestamp"
"2235359","AGP","PVG","AGPPVG","current_timestamp"
"2235360","SFO","NKC","SFONKC","current_timestamp"
"2235361","COO","SLC","COOSLC","current_timestamp"
"2235362","AUS","NCE","AUSNCE","current_timestamp"
"2235363","ELQ","NIM","ELQNIM","current_timestamp"
"2235364","DME","LFW","DMELFW","current_timestamp"
"2235365","VIL","TNG","VILTNG","current_timestamp"
"2235366","COU","AGA","COUAGA","current_timestamp"
"2235367","VTZ","NDR","VTZNDR","current_timestamp"
"2235368","LED","GIG","LEDGIG","current_timestamp"
"2235369","LOS","DAY","LOSDAY","current_timestamp"
"2235370","SLC","MLW","SLCMLW","current_timestamp"
"2235371","KWI","MXP","KWIMXP","current_timestamp"
"2235372","PLZ","LIS","PLZLIS","current_timestamp"
"2235373","IST","MNL","ISTMNL","current_timestamp"
"2235374","SBW","ROB","SBWROB","current_timestamp"
"2235375","FIH","MOW","FIHMOW","current_timestamp"
"2235376","YTZ","OZZ","YTZOZZ","current_timestamp"
"2235377","PEK","TUN","PEKTUN","current_timestamp"
"2235378","SJC","ACC","SJCACC","current_timestamp"
"2235379","LBV","OZZ","LBVOZZ","current_timestamp"
"2235380","CLT","MRS","CLTMRS","current_timestamp"
"2235381","ESB","FEZ","ESBFEZ","current_timestamp"
"2235382","CMN","BKI","CMNBKI","current_timestamp"
"2235383","PER","IST","PERIST","current_timestamp"
"2235384","BKO","RAI","BKORAI","current_timestamp"
"2235385","VLC","SSG","VLCSSG","current_timestamp"
"2235386","DIA","RAK","DIARAK","current_timestamp"
"2235387","OUA","YUL","OUAYUL","current_timestamp"
"2235388","SMF","FNA","SMFFNA","current_timestamp"
"2235389","ADB","AGA","ADBAGA","current_timestamp"
"2235390","KUL","LBV","KULLBV","current_timestamp"
"2235391","LHR","MXP","LHRMXP","current_timestamp"
"2235392","DOH","LFW","DOHLFW","current_timestamp"
"2235393","CKY","OPO","CKYOPO","current_timestamp"
"2235394","SHA","AUH","SHAAUH","current_timestamp"
"2235395","BCN","MAD","BCNMAD","current_timestamp"
"2235396","VCE","CUN","VCECUN","current_timestamp"
"2235397","MAD","PDX","MADPDX","current_timestamp"
"2235398","FEZ","RIC","FEZRIC","current_timestamp"
"2235399","SSG","BNE","SSGBNE","current_timestamp"
"2235400","DKR","AMM","DKRAMM","current_timestamp"
"2235401","LBV","FEZ","LBVFEZ","current_timestamp"
"2235402","SSH","ACC","SSHACC","current_timestamp"
"2235403","AKL","RAK","AKLRAK","current_timestamp"
"2235404","WAS","CMN","WASCMN","current_timestamp"
"2235405","BRU","AGA","BRUAGA","current_timestamp"
"2235406","OXB","SAO","OXBSAO","current_timestamp"
"2235407","AMS","EDI","AMSEDI","current_timestamp"
"2235408","KIN","ABJ","KINABJ","current_timestamp"
"2235409","LGW","FCO","LGWFCO","current_timestamp"
"2235410","CMH","RAK","CMHRAK","current_timestamp"
"2235411","MPL","LFW","MPLLFW","current_timestamp"
"2235412","YIA","AGA","YIAAGA","current_timestamp"
"2235413","CMN","HAV","CMNHAV","current_timestamp"
"2235414","NCE","LFW","NCELFW","current_timestamp"
"2235415","CPT","ROB","CPTROB","current_timestamp"
"2235416","SSG","PAR","SSGPAR","current_timestamp"
"2235417","HKG","ATH","HKGATH","current_timestamp"
"2235418","CAS","ADD","CASADD","current_timestamp"
"2235419","BJL","RGN","BJLRGN","current_timestamp"
"2235420","SKT","ROB","SKTROB","current_timestamp"
"2235421","LCA","CAS","LCACAS","current_timestamp"
"2235422","RAK","BHH","RAKBHH","current_timestamp"
"2235423","TLL","RBA","TLLRBA","current_timestamp"
"2235424","SAN","NTE","SANNTE","current_timestamp"
"2235425","CAK","COO","CAKCOO","current_timestamp"
"2235426","CAS","SHV","CASSHV","current_timestamp"
"2235427","TYS","AGA","TYSAGA","current_timestamp"
"2235428","MAD","YHZ","MADYHZ","current_timestamp"
"2235429","VIX","ROM","VIXROM","current_timestamp"
"2235430","KIN","JFK","KINJFK","current_timestamp"
"2235431","ACC","KWI","ACCKWI","current_timestamp"
"2235432","TRV","ACC","TRVACC","current_timestamp"
"2235433","PNR","ADD","PNRADD","current_timestamp"
"2235434","DTW","BJL","DTWBJL","current_timestamp"
"2235435","SJU","RAK","SJURAK","current_timestamp"
"2235436","OUD","SIN","OUDSIN","current_timestamp"
"2235437","NIM","OPO","NIMOPO","current_timestamp"
"2235438","ICN","RAK","ICNRAK","current_timestamp"
"2235439","JFK","DSS","JFKDSS","current_timestamp"
"2235440","HOU","ROB","HOUROB","current_timestamp"
"2235441","CKY","SSH","CKYSSH","current_timestamp"
"2235442","SVQ","RAI","SVQRAI","current_timestamp"
"2235443","VIL","MIA","VILMIA","current_timestamp"
"2235444","YQB","CMN","YQBCMN","current_timestamp"
"2235445","TUN","DTW","TUNDTW","current_timestamp"
"2235446","IKA","COO","IKACOO","current_timestamp"
"2235447","OUA","MPM","OUAMPM","current_timestamp"
"2235448","SEL","RAK","SELRAK","current_timestamp"
"2235449","AKL","ZAG","AKLZAG","current_timestamp"
"2235450","NBO","TLS","NBOTLS","current_timestamp"
"2235451","TLS","ESU","TLSESU","current_timestamp"
"2235452","OXB","TFS","OXBTFS","current_timestamp"
"2235453","RAH","CMN","RAHCMN","current_timestamp"
"2235454","DUB","PHC","DUBPHC","current_timestamp"
"2235455","LYS","MOW","LYSMOW","current_timestamp"
"2235456","FEZ","LCG","FEZLCG","current_timestamp"
"2235457","DKR","PAR","DKRPAR","current_timestamp"
"2235458","CMN","MBJ","CMNMBJ","current_timestamp"
"2235459","CLT","NDJ","CLTNDJ","current_timestamp"
"2235460","GLN","AMS","GLNAMS","current_timestamp"
"2235461","SYD","EUN","SYDEUN","current_timestamp"
"2235462","CMN","CCS","CMNCCS","current_timestamp"
"2235463","GYD","NKC","GYDNKC","current_timestamp"
"2235464","LOS","SLC","LOSSLC","current_timestamp"
"2235465","MEL","MAN","MELMAN","current_timestamp"
"2235466","SSG","MXP","SSGMXP","current_timestamp"
"2235467","KTM","IST","KTMIST","current_timestamp"
"2235468","FIH","LAX","FIHLAX","current_timestamp"
"2235469","TTA","BOD","TTABOD","current_timestamp"
"2235470","VLC","YMQ","VLCYMQ","current_timestamp"
"2235471","CMN","BIA","CMNBIA","current_timestamp"
"2235472","BEY","MAN","BEYMAN","current_timestamp"
"2235473","TNG","BDL","TNGBDL","current_timestamp"
"2235474","FRA","BOS","FRABOS","current_timestamp"
"2235475","CAS","FEZ","CASFEZ","current_timestamp"
"2235476","NBO","KGL","NBOKGL","current_timestamp"
"2235477","CHI","OUD","CHIOUD","current_timestamp"
"2235478","AMM","MXP","AMMMXP","current_timestamp"
"2235479","DFW","FIH","DFWFIH","current_timestamp"
"2235480","NAP","CAI","NAPCAI","current_timestamp"
"2235481","FRA","KUL","FRAKUL","current_timestamp"
"2235482","RAK","OPO","RAKOPO","current_timestamp"
"2235483","TUN","NSI","TUNNSI","current_timestamp"
"2235484","RBA","MCT","RBAMCT","current_timestamp"
"2235485","MCO","NSI","MCONSI","current_timestamp"
"2235486","BGW","OXB","BGWOXB","current_timestamp"
"2235487","MEX","LOS","MEXLOS","current_timestamp"
"2235488","SSH","RAK","SSHRAK","current_timestamp"
"2235489","DTW","ABJ","DTWABJ","current_timestamp"
"2235490","EUN","DME","EUNDME","current_timestamp"
"2235491","CKY","EUN","CKYEUN","current_timestamp"
"2235492","MSP","CAS","MSPCAS","current_timestamp"
"2235493","TUN","VLC","TUNVLC","current_timestamp"
"2235494","BOD","BOS","BODBOS","current_timestamp"
"2235495","CKY","CKG","CKYCKG","current_timestamp"
"2235496","FRA","OPO","FRAOPO","current_timestamp"
"2235497","VIL","ICN","VILICN","current_timestamp"
"2235498","RAK","HAV","RAKHAV","current_timestamp"
"2235499","HGA","RAK","HGARAK","current_timestamp"
"2235500","ESB","COO","ESBCOO","current_timestamp"
"2235501","PHL","EUN","PHLEUN","current_timestamp"
"2235502","MAA","OUD","MAAOUD","current_timestamp"
"2235503","DTT","NYC","DTTNYC","current_timestamp"
"2235504","BLR","CAS","BLRCAS","current_timestamp"
"2235505","ISB","DLA","ISBDLA","current_timestamp"
"2235506","HAN","BUD","HANBUD","current_timestamp"
"2235507","TTU","MPL","TTUMPL","current_timestamp"
"2235508","AQI","ABJ","AQIABJ","current_timestamp"
"2235509","HAM","ABJ","HAMABJ","current_timestamp"
"2235510","AGA","JKT","AGAJKT","current_timestamp"
